"Enable Debug Mode","Activer le mode debug"
"Reindex in a temporary index and switch to it once finished. Especially useful for large product catalogs.","Active la réindexation dans un index temporaire qui permet de ne pas avoir de temps d'indisponibilité si la réindexation prend beaucoup de temps (cas des catalogues produits volumineux)."
"Query Operator","Opérateur de requête"
"OR","OU"
"AND","ET"
"For example, with the OR operator, the query ""digital camera"" is translated to ""digital OR camera"", with the AND operator, the same query is translated to ""digital AND camera"". The default value is AND.","Par exemple, avec l'opérateur OU, la recherche de ""appareil photo"" est traduite en ""appareil OU photo"", avec l'opérateur ET, la même recherche est traduite en ""appareil ET photo"". La valeur par défaut est ET."
"Enable Source Storage","Activer le stockage des données"
"Should we store source data in Elasticsearch or not. Keep this setting to No for better performances. Will be forced to Yes if fast autocomplete is enabled.","Doit-on sauvegarder les données dans Elasticsearch. Définir cette valeur à Non pour de meilleures performances et économiser de l'espace disque."
"Enable Fuzzy Query","Activer la recherche approximative"
"Enables approximative search: <a href=""https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl-flt-query.html"" target=""_blank"">https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl-flt-query.html</a>","Active les requêtes de type ""fuzzy"" : <a href=""https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl-flt-query.html"" target=""_blank"">https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl-flt-query.html</a>"
"Did you mean %s?","Voulez-vous dire %s ?"
"Autocomplete Settings","Paramètres d'autocomplétion"
"Enable Autocomplete","Activer l'autocomplétion"
"If enabled, will override default autocomplete to display products directly.","Si activé, l'autocomplétion par défaut sera surchargée pour afficher les produits directement."
"Autocomplete Limit","Limite de résultats"
"Limit the number of results in autocompletion for each entity.","Limite le nombre de résultats affichés dans la liste pour chaque type de recherche."
"Products Display","Apparence des produits"
"Image Size","Taille des images"
"Image size in px, default is 50px.","Taille des images en pixel, par défaut 50px."
"All Results (%s)","Tous les résultats (%s)"
"No Result","Aucun résultat"
"Products","Produits"
"Categories","Catégories"
"Pages","Pages"
"Category Results","Résultats catégories"
"Page Results","Résultats pages CMS"
"Category Settings","Paramètres des catégories"
"Enable Category Search","Activer la recherche pour les catégories"
"If enabled, catagories will be indexed in Elasticsearch.","Si activé, les catégories seront indexées dans Elasticsearch."
"Enable in Autocomplete","Activer dans l'autocomplétion"
"If enabled, categories will also be searchable in autocomplete box.","Si activé, les catégories seront affichées dans l'autocomplétion."
"Enable in Search Results","Activer dans les résultats de recherche"
"If enabled, categories will also be displayed in right column of search results page.","Si activé, les catégories seront affichées dans la colonne de droite de la page des résultats de recherche."
"Searchable Attributes","Attributs à indexer"
"Define which attributes are searchable.","Définit quels attributs sont utilisés pour l'indexation."
"CMS Settings","Paramètres des pages CMS"
"Enable CMS Search","Activer la recherche pour les pages CMS"
"If enabled, CMS pages will be indexed in Elasticsearch.","Si activé, les pages CMS seront indexées dans Elasticsearch."
"If enabled, CMS pages will also be searchable in autocomplete box.","Si activé, les pages CMS seront affichées dans l'autocomplétion."
"If enabled, CMS pages will also be displayed in right column of search results page.","Si activé, les pages CMS seront affichées dans la colonne de droite de la page des résultats de recherche."
"Elasticsearch Product","Elasticsearch Produits"
"Rebuild product fulltext search index","Réindexation des produits dans Elasticsearch"
"Elasticsearch Category","Elasticsearch Catégories"
"Rebuild category fulltext search index","Réindexation des catégories dans Elasticsearch"
"Elasticsearch server is not reachable","Le serveur Elasticsearch est injoignable"
"Elasticsearch CMS Pages","Elasticsearch Pages CMS"
"Rebuild CMS pages fulltext search index","Réindexation des pages CMS dans Elasticsearch"
"Elasticsearch Settings","Paramètres Elasticsearch"
"Search Weight","Poids de l'attribut"
"Boost some attributes by giving them a higher weight.","Définit l'importance de l'attribut lors d'une recherche Elasticsearch. Plus le poids est élevé, plus l'attribut est important."
"General Settings","Paramètres généraux"
"Enable Response Header","Ajouter le header dans la réponse"
"If enabled, a custom response header will be present for debug purpose.","Si activé, un header sera ajouté à la réponse à des fins de debug."
"Product Settings","Paramètres des produits"
"Enable Auto Redirect","Activer la redirection automatique"
"If only 1 result matches the query, the user will be redirected to the product page automatically.","Si un seul résultat est trouvé pour la recherche, l'utilisateur sera redirigé vers la page produit automatiquement."
"Search Results Limit","Limite de résultats"
"Limit number of results. Zero or empty means unlimited.","Limite le nombre de résultats affichés. Zéro ou vide signifie aucune limite."
"Show Category Path","Afficher le chemin des catégories"
"If enabled, category path will be displayed in search results.","Si activé, le chemin des catégories sera affiché dans les résultats de recherche."
"Excluded Pages","Pages CMS exclues"
"Selected CMS pages will be excluded from search.","Les pages CMS sélectionnées seront ignorées de la recherche."
